year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol,f_score
1994,03,sl,-0.7014,0.034,0.942,0.023,0.41988596280262946,0.06976726591309923,-0.9996284246444702
1994,03,su,0.9991,0.073,0.775,0.152,0.43313385281385275,0.07052285714285715,-0.9334111213684082
1994,05,at,0.9986,0.049,0.788,0.163,0.3517851116335965,0.11900373756434364,-0.7107352614402771
1994,05,bo,0.9909,0.048,0.851,0.101,0.38149499925361985,0.04864444942031149,-0.9324398040771484
1994,05,ch,0.9996,0.025,0.815,0.16,0.4368456561834046,0.13953905182382012,-0.8462545275688171
1994,05,cl,0.9874,0.045,0.865,0.09,0.4053355524946434,0.1209401919629192,-0.9391855597496033
1994,05,da,0.9993,0.067,0.749,0.184,0.45522498334998335,0.11346424408924406,-0.9817938804626465
1994,05,kc,0.5068,0.09,0.818,0.092,0.3989143381870655,0.092316328873147,0.7014992237091064
1994,05,mi,0.9986,0.057,0.796,0.147,0.4366400816400817,0.08250611000610997,-0.8292979001998901
1994,05,ny,0.9971,0.043,0.842,0.115,0.39664698937426196,0.1085025580480126,-0.995800793170929
1994,05,ph,0.9919,0.022,0.865,0.112,0.4039159197609901,0.09722044387537344,-0.9832647442817688
1994,05,ri,0.9974,0.07,0.79,0.14,0.3859704821172712,0.10703570893937865,-0.9737551212310791
1994,05,sf,0.999,0.051,0.773,0.176,0.4348338809784593,0.17716867469879521,-0.9991201758384705
1994,05,sl,0.9904,0.041,0.873,0.086,0.38621302789619627,0.09299802507723295,0.5892595052719116
1994,05,su,0.9996,0.045,0.772,0.183,0.4399370403259291,0.14837273631718076,0.6456744074821472
1994,06,at,0.9975,0.048,0.83,0.122,0.3796311466311466,0.1252795335977155,-0.9521559476852417
1994,06,bo,0.9943,0.041,0.861,0.098,0.4148544657097287,0.11406442241968558,-0.9871841073036194
1994,06,ch,0.9989,0.049,0.822,0.129,0.4088819969416983,0.09014090801404233,-0.9880872964859009
1994,06,cl,0.9962,0.052,0.815,0.133,0.4482569827432841,0.13658260689082607,-0.9682448506355286
1994,06,da,0.9968,0.092,0.764,0.144,0.4522766739433407,0.10735767319100652,-0.9948811531066895
1994,06,kc,0.9942,0.069,0.809,0.122,0.43043673543673533,0.08894969644969643,-0.6880199313163757
1994,06,mi,0.9984,0.051,0.803,0.146,0.47843287553567926,0.15223069376106765,0.6596037149429321
1994,06,ny,0.9981,0.049,0.829,0.122,0.3923985148561419,0.0809836644052746,-0.987432599067688
1994,06,ph,0.9988,0.027,0.85,0.123,0.36267797419971326,0.07837280473150035,-0.9729116559028625
1994,06,ri,0.9922,0.064,0.829,0.107,0.3955274285462964,0.08748283948755647,-0.9855173230171204
1994,06,sf,0.9976,0.041,0.838,0.121,0.45838867397378036,0.1548044272512358,-0.9156963229179382
1994,06,sl,0.9924,0.064,0.834,0.102,0.3980518941683991,0.10150502140793405,-0.849295437335968
1994,06,su,0.998,0.076,0.808,0.117,0.44387478463565416,0.15164195707673975,-0.6089357137680054
1994,08,at,0.998,0.036,0.849,0.115,0.33351803959280585,0.124125796322058,-0.9897513389587402
1994,08,bo,0.9975,0.037,0.831,0.132,0.4039066026566025,0.09628138395995542,-0.9962332844734192
1994,08,ch,0.999,0.053,0.811,0.136,0.45919573283859005,0.09846552257266546,-0.8662762641906738
1994,08,cl,0.9978,0.038,0.835,0.127,0.369166561593746,0.10391848442819318,-0.7678888440132141
1994,08,da,0.9986,0.079,0.765,0.157,0.4051968937495254,0.13133914331282748,-0.9114968776702881
1994,08,kc,-0.5106,0.072,0.865,0.063,0.3593592446201141,0.10316743522178304,-0.714299201965332
1994,08,mi,0.999,0.055,0.791,0.154,0.41932506279728515,0.1476703877398322,0.5475320816040039
1994,08,ny,0.9977,0.07,0.782,0.148,0.39982033917677473,0.08237930935950738,-0.9983752965927124
1994,08,ph,0.9968,0.024,0.871,0.104,0.35144548937652387,0.06817311041448973,-0.9909981489181519
1994,08,ri,0.9919,0.037,0.875,0.087,0.4044004816732089,0.0797287729105911,-0.9951353669166565
1994,08,sf,0.9988,0.057,0.775,0.168,0.410608843691368,0.15296269803551357,-0.9920068383216858
1994,08,sl,0.9463,0.042,0.894,0.063,0.39525932400932395,0.07892846736596737,-0.8342010974884033
1994,08,su,0.9978,0.032,0.849,0.119,0.4472727656504252,0.07375266725000769,-0.6976610422134399
1994,09,at,0.995,0.062,0.829,0.11,0.35308345589595574,0.09903855403855406,-0.9669786095619202
1994,09,bo,0.9929,0.058,0.83,0.112,0.3263219997594996,0.05767421236171238,-0.9995224475860596
1994,09,ch,0.9979,0.041,0.854,0.105,0.4180498662176983,0.07960677201586291,-0.9918153882026672
1994,09,cl,0.9955,0.04,0.832,0.129,0.42476404078377755,0.11796116712235132,-0.7810165882110596
1994,09,da,0.9534,0.087,0.815,0.098,0.3885767882910739,0.06703607503607502,-0.9917558431625366
1994,09,kc,0.8594,0.058,0.867,0.075,0.37795734379846535,0.09288939124219496,-0.6136475205421448
1994,09,mi,0.9993,0.044,0.803,0.153,0.42402434280695167,0.19848459752807582,0.8313409686088562
1994,09,ny,0.9789,0.061,0.857,0.082,0.39868655836397754,0.08928707194836226,-0.9887702465057373
1994,09,ph,0.9975,0.034,0.849,0.117,0.35929487179487174,0.07155691530691531,-0.9912675023078918
1994,09,ri,0.9963,0.043,0.84,0.117,0.3952966541034723,0.10832988034692578,-0.9992820620536804
1994,09,sf,0.9985,0.056,0.798,0.146,0.3962496322447779,0.11911518093556928,-0.970870316028595
1994,09,sl,0.9977,0.043,0.833,0.124,0.438234410791229,0.1014763519308974,0.6151982545852661
1994,09,su,0.9993,0.036,0.84,0.124,0.4263622913987876,0.13767704517704518,-0.8715972304344177
1994,11,at,0.9987,0.051,0.793,0.156,0.41124252350213886,0.1416122339199262,-0.971373975276947
1994,11,bo,0.9971,0.02,0.855,0.125,0.3968987767283221,0.13357765971402333,-0.7993411421775818
1994,11,ch,0.999,0.052,0.813,0.135,0.3995576608328286,0.12945468588086037,-0.8692309260368347
1994,11,cl,0.9979,0.07,0.771,0.16,0.42597415636572267,0.11092291242893654,-0.9820618033409119
1994,11,da,0.987,0.112,0.747,0.141,0.4674935328898744,0.1270780540597614,-0.9941807389259338
1994,11,kc,0.9939,0.059,0.822,0.119,0.33890236956026415,0.05563938254727724,-0.5085647702217102
1994,11,mi,0.9991,0.055,0.801,0.144,0.3910192946783856,0.19160204862477584,0.99363774061203
1994,11,ny,0.952,0.054,0.868,0.078,0.3353220985363841,0.052635152545866835,-0.9995632767677307
1994,11,ph,0.9985,0.021,0.852,0.126,0.3561963863559609,0.09838763777593565,-0.9878299236297607
1994,11,ri,0.9794,0.035,0.888,0.076,0.3697694445034869,0.03677277214511258,-0.9971805810928345
1994,11,sf,0.9941,0.058,0.834,0.107,0.4373787230509919,0.09857275544250337,-0.9744939804077148
1994,11,sl,0.9972,0.022,0.883,0.095,0.3870382395382397,0.1456956931956932,-0.9784149527549744
1994,11,su,0.998,0.057,0.828,0.115,0.426423039586676,0.16108248519157614,-0.8279129862785339
1994,12,at,0.9974,0.032,0.862,0.106,0.3357940947940948,0.14747957597957598,-0.9625847935676575
1994,12,bo,0.9947,0.04,0.852,0.108,0.38855757247802686,0.10397059064672703,-0.9972854852676392
1994,12,ch,0.9991,0.041,0.826,0.133,0.37002442377442374,0.07282650345150346,0.6269636154174805
1994,12,cl,0.9982,0.06,0.79,0.15,0.480253441003441,0.0630424198817056,-0.8982219696044922
1994,12,da,0.9949,0.109,0.745,0.146,0.37977961804277593,0.09576595918701179,-0.9321439862251282
1994,12,kc,0.9936,0.048,0.846,0.105,0.3602893819143818,0.10709878547378547,-0.6003566980361938
1994,12,mi,0.9995,0.043,0.809,0.149,0.45453617986951333,0.14942158458825128,-0.9235903024673462
1994,12,ny,0.9965,0.065,0.798,0.137,0.39885542168674687,0.14266429353778753,-0.9940593242645264
1994,12,ph,0.9972,0.026,0.86,0.115,0.3944919979010888,0.11645185622458347,-0.99354088306427
1994,12,ri,0.9981,0.028,0.85,0.121,0.397081939799331,0.07381410256410258,-0.9986720085144043
1994,12,sf,0.9881,0.037,0.886,0.077,0.3878798689233471,0.09837865516126384,-0.9987096786499023
1994,12,sl,0.993,0.06,0.824,0.116,0.40107955632052006,0.15859420365444457,-0.9481652975082397
1994,12,su,0.9994,0.035,0.833,0.133,0.4231333323886515,0.13800511545192398,0.8716183304786682
1995,01,at,0.9974,0.039,0.849,0.111,0.39053691303691296,0.12902713777713778,-0.9930203557014465
1995,01,bo,0.9832,0.039,0.872,0.089,0.38550271623801036,0.13286743485272892,-0.9970951080322266
1995,01,ch,0.9994,0.046,0.782,0.172,0.4299005066180638,0.14373310531707478,0.5211323499679565
1995,01,cl,0.9926,0.045,0.832,0.124,0.4184094498094497,0.09642504902504902,-0.8795459866523743
1995,01,da,0.9985,0.084,0.748,0.168,0.3922793650793651,0.1238753968253968,-0.9504513144493103
1995,01,kc,0.9981,0.036,0.822,0.142,0.38825439686825813,0.1355283385481405,0.6231725811958313
1995,01,mi,0.9961,0.053,0.841,0.107,0.40608810897132047,0.06041251327747681,-0.863884449005127
1995,01,ny,0.9303,0.047,0.894,0.059,0.3724046734188242,0.10173799994554715,-0.9988536834716797
1995,01,ph,0.9985,0.022,0.856,0.122,0.3617773421547006,0.11437719513191208,-0.9882661700248718
1995,01,ri,0.9963,0.024,0.875,0.101,0.4024358974358974,0.08496626180836708,-0.9978911280632019
1995,01,sf,0.9979,0.051,0.825,0.124,0.36796546552405923,0.07164518424284051,-0.8949248194694519
1995,01,sl,0.999,0.012,0.835,0.153,0.4051845809643975,0.11873939261553935,-0.9899784326553345
1995,01,su,0.9997,0.053,0.765,0.182,0.3903275628800103,0.131120540298862,-0.6110001802444458
1995,03,at,0.9944,0.065,0.822,0.113,0.3710951825951826,0.0847896201021201,-0.9990130662918091
1995,03,bo,0.9736,0.037,0.878,0.084,0.39468434343434344,0.09748737373737378,-0.9996064305305481
1995,03,ch,0.9997,0.026,0.814,0.16,0.41428162284869596,0.09546490602893039,-0.6382278800010681
1995,03,cl,0.9905,0.042,0.869,0.09,0.4524380894077865,0.0941812424388182,-0.9981690645217896
1995,03,da,0.9976,0.091,0.759,0.15,0.39107059607059613,0.10734879499585381,-0.9907147884368896
1995,03,kc,0.99,0.047,0.857,0.096,0.3953406117691833,0.07741223062651631,-0.91996169090271
1995,03,mi,0.9973,0.052,0.844,0.104,0.4231854396602599,0.12510832293206398,-0.9310365915298462
1995,03,ny,0.9704,0.084,0.814,0.102,0.38974242424242406,0.01999242424242423,-0.9969531297683716
1995,03,ph,0.9975,0.035,0.862,0.102,0.3092875738236563,0.05944541140417428,-0.9981575608253479
1995,03,ri,0.9952,0.024,0.877,0.098,0.412765268919115,0.07854438296745991,-0.9910091161727905
1995,03,sf,0.9981,0.081,0.768,0.152,0.4164273934682096,0.12179208263391939,-0.9554115533828735
1995,03,sl,0.9965,0.039,0.861,0.1,0.29548397136632437,0.09160519763460939,-0.9609562754631042
1995,03,su,0.9985,0.049,0.822,0.129,0.36969220422924115,0.06427043806673437,-0.9799643158912659
1995,05,at,0.9924,0.067,0.823,0.109,0.393326389372901,0.13704875873480526,-0.9953639507293701
1995,05,bo,0.9969,0.045,0.833,0.121,0.3605386591866185,0.06531146008186825,-0.9905382394790649
1995,05,ch,0.9993,0.034,0.815,0.15,0.4160879786879783,0.0977268331668332,0.6353731751441956
1995,05,cl,0.992,0.051,0.833,0.116,0.3755726127736997,0.055432351464960165,-0.9978088736534119
1995,05,da,0.9972,0.088,0.766,0.147,0.44304998669076345,0.12565572507320083,-0.9989957213401794
1995,05,kc,0.704,0.084,0.822,0.095,0.3333081923803574,0.04367221552788562,-0.9927839040756226
