DATE,WILL5000INDFC_PC1
2003-05-01,-11.33723
2003-06-01,0.04072
2003-07-01,13.52579
2003-08-01,12.69563
2003-09-01,22.14941
2003-10-01,27.29015
2003-11-01,21.34584
2003-12-01,25.70379
2004-01-01,32.45941
2004-02-01,42.62914
2004-03-01,39.22491
2004-04-01,33.56625
2004-05-01,22.21273
2004-06-01,18.64462
2004-07-01,14.54286
2004-08-01,12.36799
2004-09-01,11.94776
2004-10-01,10.18480
2004-11-01,13.75832
2004-12-01,14.14512
2005-01-01,6.95075
2005-02-01,7.84387
2005-03-01,8.93776
2005-04-01,5.14756
2005-05-01,10.02969
2005-06-01,9.96644
2005-07-01,15.34879
2005-08-01,17.78165
2005-09-01,14.39001
2005-10-01,10.59436
2005-11-01,9.81621
2005-12-01,8.82309
2006-01-01,12.64022
2006-02-01,10.78529
2006-03-01,12.76288
2006-04-01,17.10277
2006-05-01,14.36731
2006-06-01,7.67129
2006-07-01,5.43866
2006-08-01,6.98315
2006-09-01,9.44938
2006-10-01,16.72552
2006-11-01,14.67318
2006-12-01,14.67306
2007-01-01,13.39709
2007-02-01,15.56610
2007-03-01,11.05143
2007-04-01,14.19125
2007-05-01,18.66373
2007-06-01,23.26936
2007-07-01,23.43615
2007-08-01,15.71751
2007-09-01,16.21974
2007-10-01,15.83329
2007-11-01,7.62754
2007-12-01,6.45521
2008-01-01,-1.70618
2008-02-01,-4.70096
2008-03-01,-5.29726
2008-04-01,-5.07207
2008-05-01,-5.06596
2008-06-01,-8.77232
2008-07-01,-15.05912
2008-08-01,-8.93301
2008-09-01,-15.87602
2008-10-01,-35.95322
2008-11-01,-39.02650
2008-12-01,-39.89781
2009-01-01,-35.62213
2009-02-01,-39.14752
2009-03-01,-40.69624
2009-04-01,-35.80068
2009-05-01,-33.40584
2009-06-01,-29.07493
2009-07-01,-23.24587
2009-08-01,-18.60797
2009-09-01,-11.22057
2009-10-01,15.32428
2009-11-01,29.19214
2009-12-01,32.99281
2010-01-01,35.85963
2010-02-01,41.26273
2010-03-01,59.28926
2010-04-01,47.29578
2010-05-01,29.85563
2010-06-01,21.62453
2010-07-01,19.68911
2010-08-01,11.24783
2010-09-01,11.02495
2010-10-01,13.93407
2010-11-01,15.56570
2010-12-01,17.21946
2011-01-01,18.94957
2011-02-01,26.05911
2011-03-01,17.02297
2011-04-01,14.75567
2011-05-01,22.43077
2011-06-01,22.26820
2011-07-01,26.71648
2011-08-01,11.69857
2011-09-01,6.68652
2011-10-01,4.46845
2011-11-01,3.50744
2011-12-01,0.84808
2012-01-01,2.40765
2012-02-01,4.00892
2012-03-01,7.75192
2012-04-01,4.89571
