year,month,region,filesize
1971,08,cl,3582
1971,08,da,4018
1971,08,kc,5583
1971,08,mi,3860
1971,08,ny,4225
1971,08,ph,2110
1971,08,ri,3226
1971,08,sf,4773
1971,08,sl,3216
1971,08,su,5703
1971,09,at,3637
1971,09,bo,5519
1971,09,ch,3965
1971,09,cl,5013
1971,09,da,4860
1971,09,kc,5168
1971,09,mi,4363
1971,09,ny,4631
1971,09,ph,2953
1971,09,ri,3253
1971,09,sf,3723
1971,09,sl,3362
1971,09,su,4235
1971,10,at,4261
1971,10,bo,5399
1971,10,ch,4482
1971,10,cl,2520
1971,10,da,5025
1971,10,kc,4646
1971,10,mi,4903
1971,10,ny,3331
1971,10,ph,2667
1971,10,ri,3993
1971,10,sf,3457
1971,10,sl,3478
1971,10,su,4168
1971,11,at,4243
1971,11,bo,5407
1971,11,ch,4362
1971,11,cl,4088
1971,11,da,4613
1971,11,kc,4419
1971,11,mi,3973
1971,11,ny,4259
1971,11,ph,3234
1971,11,ri,3684
1971,11,sf,3831
1971,11,sl,3443
1971,11,su,3408
1971,12,at,3331
1971,12,bo,4998
1971,12,ch,4802
1971,12,cl,4270
1971,12,da,4613
1971,12,kc,5305
1971,12,mi,3684
1971,12,ny,4623
1971,12,ph,3270
1971,12,ri,3632
1971,12,sf,3686
1971,12,sl,4099
1971,12,su,6519
1972,02,at,3811
1972,02,bo,5337
1972,02,ch,5710
1972,02,cl,4533
1972,02,da,4418
1972,02,kc,5313
1972,02,mi,5183
1972,02,ny,5185
1972,02,ph,3414
1972,02,ri,3747
1972,02,sf,3527
1972,02,sl,3345
1972,02,su,5280
1972,03,at,3549
1972,03,bo,5382
1972,03,ch,5363
1972,03,cl,3804
1972,03,da,4970
1972,03,kc,5476
1972,03,mi,3125
1972,03,ny,6276
1972,03,ph,3578
1972,03,ri,3039
1972,03,sf,4372
1972,03,sl,4071
1972,03,su,5833
1972,04,at,2381
1972,04,bo,4241
1972,04,ch,3996
1972,04,cl,3722
1972,04,da,3710
1972,04,kc,5281
1972,04,mi,4793
1972,04,ny,5832
1972,04,ph,2732
1972,04,ri,3415
1972,04,sf,4211
1972,04,sl,3401
1972,04,su,5291
1972,05,at,4171
1972,05,bo,2916
1972,05,ch,5331
1972,05,cl,4857
1972,05,da,4672
1972,05,kc,4992
1972,05,mi,4224
1972,05,ny,5462
1972,05,ph,2200
1972,05,ri,3781
1972,05,sf,3381
1972,05,sl,3211
1972,05,su,3874
1972,06,at,3538
1972,06,bo,3029
1972,06,ch,4152
1972,06,cl,2987
1972,06,da,5107
1972,06,kc,5492
1972,06,mi,5234
1972,06,ny,5277
1972,06,ph,3304
1972,06,ri,3134
1972,06,sf,3245
1972,06,sl,3297
1972,06,su,5841
1972,07,at,3377
1972,07,bo,3823
1972,07,ch,5503
1972,07,cl,3610
1972,07,da,4210
1972,07,kc,5257
1972,07,mi,4649
1972,07,ny,3896
1972,07,ph,3246
1972,07,ri,2691
1972,07,sf,3929
1972,07,sl,3353
1972,07,su,6265
1972,08,at,3660
1972,08,bo,2565
1972,08,ch,4722
1972,08,cl,4556
1972,08,da,5644
1972,08,kc,5279
1972,08,mi,5537
1972,08,ny,3881
1972,08,ph,3214
1972,08,ri,3000
1972,08,sf,3951
1972,08,sl,3495
1972,08,su,4342
1972,09,at,2948
1972,09,bo,2825
1972,09,ch,4578
1972,09,cl,3313
1972,09,da,5052
1972,09,kc,5645
1972,09,mi,5082
1972,09,ny,5076
1972,09,ph,2928
1972,09,ri,3057
1972,09,sf,3493
1972,09,sl,3824
1972,09,su,3847
1972,10,at,3822
1972,10,bo,4540
1972,10,ch,4806
1972,10,cl,4405
1972,10,da,4220
1972,10,kc,5583
1972,10,mi,4277
1972,10,ny,3731
1972,10,ph,2574
1972,10,ri,2957
1972,10,sf,3947
1972,10,sl,3411
1972,10,su,3627
1972,11,at,3225
1972,11,bo,3028
1972,11,ch,5178
1972,11,cl,4189
1972,11,da,4981
1972,11,kc,4853
1972,11,mi,4621
1972,11,ny,3812
1972,11,ph,2755
1972,11,ri,3109
1972,11,sf,3761
1972,11,sl,3238
1972,11,su,4551
1972,12,at,4353
1972,12,bo,5519
1972,12,ch,4282
1972,12,cl,4707
1972,12,da,4877
1972,12,kc,4636
1972,12,mi,4788
1972,12,ny,4034
1972,12,ph,2942
1972,12,ri,3339
1972,12,sf,3471
1972,12,sl,3960
1972,12,su,5869
1973,01,at,2851
1973,01,bo,3330
1973,01,ch,4575
1973,01,cl,4537
1973,01,da,4793
1973,01,kc,4611
1973,01,mi,4838
1973,01,ny,4153
1973,01,ph,3255
1973,01,ri,3475
1973,01,sf,2913
1973,01,sl,3752
1973,01,su,3899
1973,02,at,4474
1973,02,bo,4536
1973,02,ch,5209
1973,02,cl,4684
1973,02,da,3665
1973,02,kc,6070
1973,02,mi,3822
1973,02,ny,3757
1973,02,ph,3557
1973,02,ri,3300
1973,02,sf,4250
1973,02,sl,3766
1973,02,su,4819
1973,03,at,3581
1973,03,bo,5498
1973,03,ch,4868
1973,03,cl,4940
1973,03,da,5247
1973,03,kc,5056
1973,03,mi,4556
1973,03,ny,4707
1973,03,ph,3417
1973,03,ri,3377
1973,03,sf,3900
1973,03,sl,4366
1973,03,su,4118
1973,04,at,4120
1973,04,bo,4020
1973,04,ch,4956
1973,04,cl,4217
1973,04,da,5040
1973,04,kc,5967
1973,04,mi,4615
1973,04,ny,5911
1973,04,ph,2935
1973,04,ri,3543
1973,04,sf,3794
1973,04,sl,3545
1973,04,su,4539
1973,05,at,4516
1973,05,bo,4958
1973,05,ch,5487
1973,05,cl,4818
1973,05,da,5487
1973,05,kc,4666
1973,05,mi,5335
1973,05,ny,5908
1973,05,ph,3304
1973,05,ri,3442
1973,05,sf,4083
1973,05,sl,3737
1973,05,su,3803
1973,06,at,5659
1973,06,bo,4353
1973,06,ch,5254
1973,06,cl,4490
1973,06,da,5314
1973,06,kc,5780
1973,06,mi,5826
1973,06,ny,4861
1973,06,ph,3047
1973,06,ri,3937
1973,06,sf,3691
1973,06,sl,3365
1973,06,su,5881
1973,07,at,4133
1973,07,bo,4508
1973,07,ch,4576
1973,07,cl,3591
1973,07,da,5387
1973,07,kc,5441
1973,07,mi,5868
1973,07,ny,3724
1973,07,ph,3070
1973,07,ri,4160
1973,07,sf,4356
1973,07,sl,4312
1973,07,su,4937
1973,08,at,3595
1973,08,bo,4252
1973,08,ch,5200
1973,08,cl,5871
1973,08,da,4222
1973,08,kc,3864
1973,08,mi,3982
1973,08,ny,6734
1973,08,ph,3484
1973,08,ri,3333
1973,08,sf,4095
1973,08,sl,4805
1973,08,su,4210
1973,09,at,4611
1973,09,bo,5175
1973,09,ch,5292
1973,09,cl,5473
1973,09,da,4278
1973,09,kc,6030
1973,09,mi,3693
1973,09,ny,4809
1973,09,ph,3214
1973,09,ri,3604
1973,09,sf,3907
1973,09,sl,3875
1973,09,su,3978
1973,10,at,5209
1973,10,bo,5879
1973,10,ch,5234
1973,10,cl,5512
1973,10,da,3381
1973,10,kc,5184
1973,10,mi,5284
1973,10,ny,4036
1973,10,ph,2868
1973,10,ri,4249
1973,10,sf,4076
1973,10,sl,4037
1973,10,su,6049
1973,11,at,5531
1973,11,bo,4540
1973,11,ch,4982
1973,11,cl,3878
1973,11,da,4368
1973,11,kc,5223
1973,11,mi,4584
1973,11,ny,4749
1973,11,ph,3138
1973,11,ri,3861
1973,11,sf,4451
1973,11,sl,4072
1973,11,su,4786
1973,12,at,5302
1973,12,bo,4893
1973,12,ch,4633
1973,12,cl,5045
1973,12,da,3820
1973,12,kc,5695
1973,12,mi,5520
1973,12,ny,4829
1973,12,ph,3340
1973,12,ri,3574
1973,12,sf,4108
1973,12,sl,2717
1973,12,su,4483
1974,01,at,5100
1974,01,bo,4947
1974,01,ch,5357
1974,01,cl,5295
1974,01,da,3142
1974,01,kc,4560
1974,01,mi,4780
1974,01,ny,5404
1974,01,ph,2841
1974,01,ri,2986
1974,01,sf,4412
1974,01,sl,2730
1974,01,su,5664
1974,02,at,5100
1974,02,bo,5066
1974,02,ch,4869
1974,02,cl,5973
1974,02,da,3204
1974,02,kc,5407
1974,02,mi,5174
1974,02,ny,4666
1974,02,ph,3496
1974,02,ri,4021
1974,02,sf,3920
1974,02,sl,3783
1974,02,su,3704
1974,03,at,4671
1974,03,bo,5110
1974,03,ch,5019
1974,03,cl,3783
1974,03,da,3931
1974,03,kc,5088
1974,03,mi,4655
1974,03,ny,5648
1974,03,ph,3367
1974,03,ri,3789
1974,03,sf,4070
1974,03,sl,3141
1974,03,su,4426
1974,04,at,5300
1974,04,bo,5073
1974,04,ch,4425
1974,04,cl,5242
1974,04,da,4105
1974,04,kc,5370
1974,04,mi,4884
1974,04,ny,3916
1974,04,ph,3682
1974,04,ri,3837
1974,04,sf,4623
1974,04,sl,3823
1974,04,su,5046
1974,05,at,5911
1974,05,bo,5399
1974,05,ch,4941
1974,05,cl,6475
1974,05,da,5400
1974,05,kc,5322
1974,05,mi,4875
1974,05,ny,5339
1974,05,ph,3358
1974,05,ri,5056
1974,05,sf,4278
1974,05,sl,3376
1974,05,su,5813
1974,06,at,6287
1974,06,bo,4874
1974,06,ch,5320
1974,06,cl,6561
1974,06,da,3309
1974,06,kc,5182
1974,06,mi,5551
1974,06,ny,5122
1974,06,ph,3923
1974,06,ri,4567
1974,06,sf,4604
1974,06,sl,6216
1974,06,su,5164
1974,07,at,5737
1974,07,bo,4608
1974,07,ch,5150
1974,07,cl,7023
1974,07,da,5284
1974,07,kc,5599
1974,07,mi,4818
1974,07,ny,3882
1974,07,ph,4932
1974,07,ri,4880
1974,07,sf,3734
1974,07,sl,3226
1974,07,su,6733
1974,08,at,5457
1974,08,bo,5215
1974,08,ch,4952
1974,08,cl,5314
1974,08,da,5126
1974,08,kc,4509
1974,08,mi,4993
1974,08,ny,5263
1974,08,ph,4076
1974,08,ri,5657
1974,08,sf,5005
1974,08,sl,2716
1974,08,su,4205
1974,09,at,3858
1974,09,bo,5342
1974,09,ch,5223
1974,09,cl,6374
1974,09,da,5542
1974,09,kc,4705
