year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol
1981,12,mi,-0.9606,0.082,0.871,0.047,0.3972978736949325,0.06395196715049656
1981,12,ny,0.9941,0.097,0.774,0.13,0.43615152738034063,0.056681952698901854
1981,12,ph,0.9917,0.047,0.872,0.081,0.351409199496156,0.0726805875284136
1981,12,ri,0.9636,0.051,0.872,0.076,0.4110021645021645,0.1217864357864358
1981,12,sf,-0.9907,0.104,0.844,0.053,0.4325249048140615,0.004727350962290722
1981,12,sl,0.785,0.048,0.888,0.064,0.4331517721243748,0.08840237008045228
1981,12,su,0.6486,0.107,0.78,0.113,0.40558624106816865,0.06945613623324466
1982,01,at,-0.9577,0.074,0.874,0.052,0.43636428386428366,0.059821474821474825
1982,01,bo,0.9968,0.104,0.758,0.138,0.43638959164933183,0.05359782893873801
1982,01,ch,0.9614,0.097,0.796,0.107,0.4349858892336768,0.06469906077206963
1982,01,cl,-0.9977,0.123,0.816,0.061,0.37719990262673175,0.015418133131547778
1982,01,da,0.9845,0.068,0.822,0.109,0.43071919191919184,0.020220202020202017
1982,01,kc,0.998,0.059,0.789,0.152,0.44604855275443517,0.129828197945845
1982,01,mi,-0.9879,0.113,0.816,0.071,0.4327073818128865,0.0677496458689119
1982,01,ny,0.876,0.114,0.771,0.115,0.43822273757988034,0.06642999725142582
1982,01,ph,0.9914,0.037,0.892,0.071,0.3172573420169573,0.018259024629216934
1982,01,ri,0.9953,0.049,0.817,0.134,0.3952060962125898,0.06153309533179662
1982,01,sf,-0.2122,0.101,0.799,0.099,0.4085794051627386,0.024514870931537598
1982,01,sl,0.89,0.062,0.873,0.065,0.39385011909108275,0.031304395069455315
1982,01,su,0.8215,0.101,0.795,0.105,0.4718355602730603,0.09767383658008658
1982,03,at,-0.9218,0.106,0.804,0.09,0.38789139696282554,0.0759815158386587
1982,03,bo,-0.9771,0.139,0.744,0.117,0.3271659967017111,0.0465537775716347
1982,03,ch,-0.9892,0.122,0.79,0.088,0.4606263528138527,0.03475784632034633
1982,03,cl,-0.963,0.091,0.839,0.071,0.3273117039964866,0.019085693895476506
1982,03,da,0.9747,0.093,0.787,0.12,0.3971300505050505,0.023717487373737366
1982,03,kc,0.9763,0.084,0.81,0.106,0.38725501770956317,0.11262257313393675
1982,03,mi,-0.9178,0.099,0.814,0.087,0.44958291229842945,0.042666684369270534
1982,03,ny,-0.9849,0.121,0.788,0.091,0.38816298701298685,0.08368603896103897
1982,03,ph,0.9979,0.047,0.83,0.123,0.4093646122396123,0.043073135198135194
1982,03,ri,0.9647,0.09,0.804,0.106,0.3718111271444604,-0.010371372454705787
1982,03,sf,-0.9886,0.111,0.811,0.078,0.39806152043775794,0.031398747017558896
1982,03,sl,0.128,0.046,0.906,0.048,0.39389265324047923,0.0659911224041659
1982,03,su,-0.9489,0.116,0.784,0.1,0.4329030414030414,0.056856993006993005
1982,05,at,0.9446,0.109,0.769,0.121,0.4174308300395256,0.08271268586485978
1982,05,bo,0.9813,0.102,0.774,0.124,0.42042281792281777,0.12058102391435727
1982,05,ch,-0.9835,0.107,0.811,0.082,0.4228755311046981,0.03181542608625944
1982,05,cl,-0.9965,0.121,0.826,0.053,0.3130090847026331,0.05282459774395259
1982,05,da,0.9798,0.056,0.851,0.093,0.3853197028197027,-0.024630279630279635
1982,05,kc,0.9931,0.083,0.772,0.145,0.3538613406795224,0.061226223271677815
1982,05,mi,0.9869,0.057,0.858,0.085,0.37231922398589057,0.052274931858265206
1982,05,ny,0.9954,0.077,0.794,0.129,0.4115739989177488,0.10645266842532468
1982,05,ph,0.9884,0.073,0.827,0.1,0.36690919624593077,0.036380413803883196
1982,05,ri,0.9487,0.049,0.878,0.073,0.38763226010101004,0.014110164141414142
1982,05,sf,-0.9928,0.128,0.786,0.086,0.44331802877257426,0.006796755433119066
1982,05,sl,-0.6169,0.086,0.838,0.076,0.4053483196856689,0.07971139971139973
1982,05,su,-0.8953,0.1,0.815,0.086,0.42392973210364504,0.038711148754627014
1982,06,at,-0.5546,0.099,0.804,0.097,0.43051815143920424,0.04867841953368268
1982,06,bo,-0.8028,0.103,0.798,0.099,0.42418396245499035,0.07675779827648987
1982,06,ch,0.9083,0.087,0.816,0.097,0.42719715629198385,0.021749048365427674
1982,06,cl,-0.9609,0.085,0.845,0.069,0.31729353535353527,0.04203828282828284
1982,06,da,0.9535,0.062,0.851,0.087,0.39210392616642603,0.006836369648869645
1982,06,kc,0.9931,0.066,0.814,0.12,0.3840686750890832,0.05681026739700209
1982,06,mi,0.8312,0.075,0.85,0.075,0.4197852783790283,0.00532463774651275
1982,06,ny,0.9886,0.1,0.781,0.119,0.455303683039532,0.04083810755980568
1982,06,ph,0.9982,0.048,0.818,0.134,0.3951012580799814,0.04366613587358269
1982,06,ri,0.9845,0.064,0.831,0.105,0.41150770525770525,0.009358650608650607
1982,06,sf,-0.8165,0.104,0.793,0.103,0.45400173720562065,0.04345865030331049
1982,06,sl,0.9935,0.045,0.832,0.123,0.4610215442452282,0.09381265664160403
1982,06,su,-0.8957,0.109,0.794,0.096,0.4248478167922612,0.05449682005237563
1982,08,at,0.9969,0.049,0.832,0.119,0.4357065427797135,0.054063104916763464
1982,08,bo,0.9974,0.077,0.796,0.127,0.41706190790836445,0.10556422580044626
1982,08,ch,-0.9536,0.082,0.85,0.067,0.43742766955266965,0.059489808802308794
1982,08,cl,-0.9981,0.128,0.819,0.052,0.3998849342481417,0.05705566446132484
1982,08,da,0.9468,0.071,0.831,0.098,0.4031589886067497,0.04787318817169564
1982,08,kc,0.9926,0.071,0.807,0.122,0.40442173382173385,0.08761095848595847
1982,08,mi,-0.973,0.099,0.823,0.078,0.4166591237045782,0.04016692903056533
1982,08,ny,0.7895,0.087,0.822,0.091,0.3629167137210615,0.09922708450969324
1982,08,ph,0.998,0.069,0.804,0.128,0.3979894359371972,0.07884056449354952
1982,08,ri,-0.0308,0.092,0.818,0.09,0.3708175505050505,0.041155589990817275
1982,08,sf,0.9762,0.097,0.787,0.115,0.42295785846806244,0.07345635656860149
1982,08,sl,0.9808,0.068,0.827,0.105,0.4216435224227431,0.07802758568992336
1982,08,su,0.9935,0.099,0.768,0.133,0.4243550585217251,0.032390543759591384
1982,09,at,0.988,0.092,0.797,0.111,0.4472127715789687,0.07588338109464869
1982,09,bo,0.9868,0.095,0.781,0.124,0.3859752499484642,0.062384269995877144
1982,09,ch,0.2277,0.084,0.838,0.078,0.4409538937764742,0.02275403807661872
1982,09,cl,-0.9488,0.115,0.787,0.098,0.38098252937538657,0.040153496057513914
1982,09,da,0.9879,0.067,0.828,0.105,0.39370683350135405,0.06608976259661191
1982,09,kc,0.9756,0.091,0.798,0.111,0.4039846974730694,0.06310197070371489
1982,09,mi,0.2633,0.085,0.832,0.084,0.3948592791756854,0.005958961828102449
1982,09,ny,0.9862,0.084,0.812,0.105,0.4124568226911976,0.018600824089105336
1982,09,ph,0.9689,0.081,0.822,0.097,0.3328349661542938,0.03284149324065291
1982,09,ri,0.9937,0.055,0.832,0.113,0.39415638528138525,0.03132494588744589
1982,09,sf,0.976,0.09,0.795,0.115,0.35671977955110473,0.026817616787496303
1982,09,sl,0.9978,0.057,0.774,0.168,0.4440935776552214,0.12239963233113917
1982,09,su,0.8564,0.114,0.764,0.121,0.42802631174971595,0.08063399957016978
1982,11,at,0.9974,0.087,0.775,0.137,0.4614553385545751,0.07403093090115995
1982,11,bo,0.9968,0.065,0.813,0.122,0.4164744932486869,0.08646583255454224
1982,11,ch,-0.9851,0.136,0.757,0.107,0.41884524973234644,0.02641867988642182
1982,11,cl,-0.9793,0.08,0.868,0.052,0.35051063086219336,0.04641298588564213
1982,11,da,0.9856,0.048,0.858,0.094,0.36137040043290025,0.030809433621933613
1982,11,kc,0.9866,0.078,0.814,0.107,0.43025070210554067,0.047300733913637164
1982,11,mi,0.5692,0.065,0.866,0.068,0.36977832258444504,0.027116279412197783
1982,11,ny,0.9964,0.078,0.788,0.134,0.4080646993270755,0.10267530324461017
1982,11,ph,0.9902,0.067,0.832,0.101,0.37326018849323933,0.03419707881572289
1982,11,ri,-0.2508,0.078,0.845,0.077,0.40112063324272623,0.07003926306251886
1982,11,sf,-0.9929,0.127,0.795,0.078,0.3501076449323871,0.00604991743651537
1982,11,sl,0.9915,0.052,0.828,0.12,0.41089843489843486,0.08256476856476856
1982,11,su,-0.9951,0.161,0.734,0.104,0.4367473435655253,0.07582163627618176
1982,12,at,0.9981,0.081,0.772,0.147,0.4406538810027182,0.04346471358099265
1982,12,bo,0.9991,0.048,0.8,0.153,0.390489030743268,0.0834371560642747
1982,12,ch,-0.9852,0.123,0.785,0.092,0.49453245453245454,-0.01162324662324663
1982,12,cl,-0.9835,0.073,0.881,0.047,0.38153388756837037,0.021596997351307688
1982,12,da,0.9936,0.069,0.805,0.126,0.4448541184842553,0.04563986242068434
1982,12,kc,0.9891,0.085,0.795,0.12,0.39811077811077805,0.03789389430014429
1982,12,mi,0.9952,0.044,0.869,0.087,0.39233316602881807,0.07491666143840058
1982,12,ny,0.9951,0.078,0.793,0.129,0.41637131115072307,0.05067637155872452
1982,12,ph,0.9994,0.025,0.813,0.162,0.3608762481962482,0.07199792207792208
1982,12,ri,0.9953,0.03,0.864,0.106,0.3974095959595958,0.08070479797979796
1982,12,sf,-0.4961,0.102,0.808,0.091,0.4018526671069043,0.04677250715386309
1982,12,sl,-0.7329,0.082,0.837,0.081,0.37585936585936575,0.10002325377325375
1982,12,su,0.9972,0.069,0.796,0.135,0.3646014752006486,0.09211384804360014
1983,02,at,0.9985,0.071,0.792,0.137,0.37514787855513654,0.07880059232881817
1983,02,bo,0.9967,0.072,0.798,0.13,0.42223427887901566,0.06784660514923671
1983,02,ch,0.813,0.112,0.775,0.113,0.45475962000962,0.04615731721981723
1983,02,cl,0.9132,0.082,0.832,0.086,0.3542366017820563,0.03126202837566473
1983,02,da,0.9963,0.061,0.794,0.146,0.32964958464958466,0.04086784836784838
1983,02,kc,0.9643,0.078,0.821,0.101,0.3925478939050368,0.0380860990860991
1983,02,mi,0.9952,0.041,0.873,0.086,0.3933035483035484,0.0751890701890702
1983,02,ny,0.9986,0.076,0.774,0.15,0.4561780913749418,0.09858077399415983
1983,02,ph,0.9972,0.044,0.83,0.126,0.3370455734741448,0.0671822225393654
1983,02,ri,0.9978,0.043,0.797,0.159,0.3824803841991341,0.04452854437229438
1983,02,sf,0.711,0.114,0.766,0.12,0.3932183498639194,0.025810090050596382
1983,02,sl,0.9987,0.03,0.809,0.161,0.35276875901875915,0.12640016233766235
1983,02,su,0.9928,0.087,0.777,0.136,0.4207885224796989,0.08542407619613505
1983,03,at,0.989,0.057,0.858,0.085,0.3232528179705599,0.08614557933106322
1983,03,bo,0.9988,0.061,0.79,0.149,0.3512165641376167,0.12212635756056803
1983,03,ch,0.9767,0.077,0.825,0.098,0.471330709694346,0.035116456775547686
1983,03,cl,0.9758,0.084,0.817,0.099,0.4035493795093793,-0.01442924963924964
1983,03,da,0.9865,0.07,0.818,0.111,0.3638635882635883,0.019794420394420392
1983,03,kc,0.9991,0.03,0.808,0.161,0.39614662888132274,0.07123753457426925
1983,03,mi,0.9948,0.042,0.868,0.09,0.31925299672824425,0.03991113397053992
1983,03,ny,0.9936,0.066,0.824,0.109,0.4534454374776954,0.12341368756691336
1983,03,ph,0.9967,0.051,0.837,0.112,0.35012272012272017,0.04780751530751532
1983,03,ri,0.998,0.01,0.842,0.148,0.38376451390986277,0.06916108762038993
1983,03,sf,0.9839,0.092,0.783,0.126,0.4913304660707259,0.06676617754539835
1983,03,sl,0.9969,0.017,0.873,0.109,0.3980704636728733,0.11078508840557037
1983,03,su,0.9967,0.067,0.809,0.124,0.44390447087926066,0.07723171086616466
1983,05,at,0.9979,0.068,0.799,0.134,0.39729060794278176,0.047724449463579885
1983,05,bo,0.999,0.079,0.764,0.157,0.4303694706572403,0.11968370757939105
1983,05,ch,0.9919,0.106,0.754,0.14,0.4100738361879665,0.028204561139343755
1983,05,cl,0.9928,0.082,0.806,0.112,0.4937724419140347,0.0471508309782646
1983,05,da,0.9966,0.039,0.845,0.116,0.3430203887615652,0.08962361429420254
1983,05,kc,0.9733,0.08,0.819,0.101,0.3846216858338069,0.06716468436165404
1983,05,mi,0.9976,0.021,0.886,0.093,0.47020471591900165,0.048366593723736556
1983,05,ny,0.9996,0.036,0.825,0.139,0.3705414843414843,0.10158249678249674
1983,05,ph,0.998,0.058,0.817,0.125,0.350798115415051,0.06932765934782066
1983,05,ri,0.998,0.034,0.82,0.146,0.4063950997456152,0.09698191413397597
1983,05,sf,0.9822,0.083,0.81,0.107,0.44690043290043274,0.09326361357940305
1983,05,sl,0.9956,0.033,0.859,0.109,0.41573310747223785,0.12313911631846416
1983,05,su,0.9945,0.062,0.818,0.119,0.41681298352809987,0.09886678244236384
1983,07,at,0.8125,0.08,0.834,0.086,0.4160970608339031,0.13991631540973648
1983,07,bo,0.9984,0.071,0.765,0.164,0.4297236045366885,0.14526607867729363
1983,07,ch,0.9964,0.071,0.811,0.118,0.4366917539627463,0.056767539076699416
1983,07,cl,0.9991,0.081,0.744,0.175,0.44552559069931963,0.061036801710530525
1983,07,da,0.9986,0.042,0.797,0.161,0.3926701885684936,0.10027756988773937
